nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000254	Isabelle Adjani	1955	\N	actress,soundtrack,producer	tt0094828,tt0110963,tt0082933,tt0073114
nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt0840361,tt2267998,tt0119217,tt1024648
nm0000256	Jenny Agutter	1952	\N	actress,soundtrack	tt0099253,tt0848228,tt0074812,tt0082010
nm0000257	Alan Alda	1936	\N	actor,miscellaneous,soundtrack	tt0068098,tt0082405,tt0338751,tt0097123
nm0000258	Stephanie Zimbalist	1956	\N	actress,writer	tt0076993,tt3717214,tt0080402,tt0083470
nm0000259	Ginger Lynn	1962	\N	actress,director,writer	tt0395584,tt0134898,tt0210365,tt0087562
nm0000260	Joan Allen	1956	\N	actress,producer,soundtrack	tt0113987,tt3170832,tt0115988,tt0452608
nm0000261	Karen Allen	1951	\N	actress,director,soundtrack	tt0082971,tt0077975,tt0367882,tt0088172
nm0000262	Nancy Allen	1950	\N	actress,soundtrack	tt0093870,tt0100502,tt0080661,tt0107978
nm0000263	Kirstie Alley	1951	\N	actress,producer,writer	tt0084726,tt0097778,tt0157503,tt0114852
nm0000264	Pedro Almodóvar	1949	\N	writer,director,soundtrack	tt0287467,tt0441909,tt0095675,tt1189073
nm0000265	Robert Altman	1925	2006	director,producer,writer	tt0073440,tt0105151,tt0108122,tt0280707
nm0000266	Ursula Andress	1936	\N	actress	tt0082186,tt0055928,tt0061452,tt0059710
nm0000267	Julie Andrews	1935	\N	actress,soundtrack,producer	tt0059742,tt0058331,tt0084865,tt0247638
nm0000268	Ann-Margret	1941	\N	actress,soundtrack	tt0077321,tt0056891,tt0107050,tt0066892
nm0000269	Jean-Jacques Annaud	1943	\N	director,producer,writer	tt2909116,tt0120102,tt0091605,tt0215750
nm0000270	Gabrielle Anwar	1970	\N	actress,producer,soundtrack	tt0108333,tt0810788,tt0114660,tt0105323
nm0000271	Anne Archer	1947	\N	actress,producer,soundtrack	tt0108122,tt0105112,tt0093010,tt0160009
nm0000272	Fanny Ardant	1949	\N	actress,director,writer	tt0401711,tt0127536,tt0086551,tt0283832
nm0000273	Alan Arkin	1934	\N	actor,soundtrack,director	tt0099487,tt1024648,tt0449059,tt0104348
nm0000274	David Arquette	1971	\N	producer,actor,director	tt0151738,tt0120082,tt0134084,tt0271367
nm0000275	Rosanna Arquette	1959	\N	actress,director,producer	tt0089017,tt0110912,tt0088680,tt0190138
nm0000276	Sean Astin	1971	\N	actor,producer,director	tt0167260,tt0120737,tt0167261,tt0089218
nm0000277	Richard Attenborough	1923	2014	actor,producer,director	tt0083987,tt0119567,tt0107290,tt0057115
nm0000278	Pernilla August	1958	\N	actress,director,writer	tt0121765,tt0120915,tt0104350,tt1437366
nm0000279	Hank Azaria	1964	\N	actor,soundtrack,producer	tt0096697,tt0132347,tt1839481,tt0115685
nm0000280	Catherine Bach	1954	\N	actress,soundtrack	tt0080213,tt0078607,tt0072288,tt1414382
nm0000281	Scott Baio	1960	\N	actor,director,producer	tt0070992,tt0367279,tt0281680,tt0270846
nm0000282	Scott Bairstow	1970	\N	actor	tt0119925,tt0120512,tt0182587,tt0283084
nm0000283	Brenda Bakke	1963	\N	actress	tt0107144,tt0114608,tt0114781,tt0119488
nm0000284	Adam Baldwin	1962	\N	actor,soundtrack	tt0379786,tt0116629,tt0187393,tt0093058
nm0000285	Alec Baldwin	1958	\N	actor,producer,soundtrack	tt0407887,tt0318374,tt0104348,tt1230414
nm0000286	Stephen Baldwin	1966	\N	actor,producer,director	tt0158622,tt0115683,tt0486583,tt0114814
nm0000287	William Baldwin	1963	\N	actor,producer,stunts	tt0367089,tt0101393,tt0108162,tt0113010
nm0000288	Christian Bale	1974	\N	actor,editorial_department,producer	tt6266538,tt0468569,tt0144084,tt0372784
nm0000289	Ellen Barkin	1954	\N	actress,producer	tt0157503,tt0098273,tt0108330,tt0116277
nm0000290	John Barry	1933	2011	music_department,soundtrack,composer	tt0099348,tt0089755,tt0093428,tt0081534
nm0000291	Angela Bassett	1958	\N	actress,producer,director	tt1825683,tt0114558,tt0118884,tt2302755
nm0000292	Michelle Bauer	1958	\N	actress,miscellaneous,costume_department	tt0097703,tt0094998,tt0103213,tt0181017
nm0000293	Sean Bean	1959	\N	actor,producer,animation_department	tt1617661,tt0120737,tt0944947,tt1181791
nm0000294	Amanda Bearse	1958	\N	actress,director,producer	tt0338067,tt0092400,tt0247121,tt0089175
nm0000295	Kate Beckinsale	1973	\N	actress,producer,soundtrack	tt0338751,tt0320691,tt0401855,tt0452702
nm0000296	Robert Beltran	1953	\N	actor,soundtrack	tt0113987,tt0087799,tt0085862,tt0112178
nm0000297	Tom Berenger	1949	\N	actor,producer,writer	tt0085244,tt0091763,tt0097815,tt1375666
nm0000298	Candice Bergen	1946	\N	actress,producer,soundtrack	tt0212346,tt0402711,tt0094514,tt0901476
nm0000299	Michael Biehn	1956	\N	actor,producer,director	tt1077258,tt0090605,tt0088247,tt0108358
nm0000300	Juliette Binoche	1964	\N	actress,art_department,miscellaneous	tt0241303,tt0116209,tt2452254,tt0108394
nm0000301	Thora Birch	1982	\N	actress,producer,soundtrack	tt0162346,tt0105112,tt0169547,tt0107120
nm0000302	Jacqueline Bisset	1944	\N	actress,producer	tt0061452,tt0088322,tt0071877,tt0062765
nm0000303	Honor Blackman	1925	2020	actress,soundtrack	tt0057197,tt0243155,tt0058150,tt0054518
nm0000304	Linda Blair	1959	\N	actress,soundtrack,producer	tt0088044,tt0079822,tt0082511,tt0070047
nm0000305	Mel Blanc	1908	1989	actor,soundtrack,music_department	tt0096438,tt0094939,tt0045708,tt0077278
nm0000306	Brian Blessed	1936	\N	actor,soundtrack,director	tt0120855,tt0107616,tt0120915,tt0080745
nm0000307	Helena Bonham Carter	1966	\N	actress,soundtrack,producer	tt0408236,tt0137523,tt1707386,tt1504320
nm0000308	Ernest Borgnine	1917	2012	actor,soundtrack,producer	tt0082340,tt0069113,tt0048356,tt0119177
nm0000309	David Bowie	1947	2016	soundtrack,actor,composer	tt0196229,tt0074851,tt0482571,tt0091369
nm0000310	Bruce Boxleitner	1950	\N	actor,producer	tt0084827,tt0871427,tt1104001,tt0105946
nm0000311	Annie Rosar	1888	1963	actress,soundtrack	tt0036333,tt0140410,tt0034800,tt0041552
nm0000312	Amy Brenneman	1964	\N	actress,producer,writer	tt0209069,tt0113277,tt0116287,tt0866437
nm0000313	Jeff Bridges	1949	\N	actor,soundtrack,producer	tt2582782,tt1263670,tt0088172,tt0118715
nm0000314	Charles Bronson	1921	2003	actor	tt0054047,tt0057115,tt0064116,tt0071402
nm0000315	Louise Brooks	1906	1985	actress,soundtrack	tt0021917,tt0017382,tt0018737,tt0020475
nm0000316	Mel Brooks	1926	\N	actor,writer,soundtrack	tt0082517,tt0395251,tt0071230,tt0094012
nm0000317	Clancy Brown	1959	\N	actor,soundtrack,producer	tt0111161,tt0120201,tt2279373,tt3501632
nm0000318	Tim Burton	1958	\N	producer,miscellaneous,director	tt0408236,tt1142977,tt0099487,tt0121164
nm0000319	Yancy Butler	1970	\N	actress	tt1650554,tt0274298,tt0107076,tt0109676
nm0000320	Luis Buñuel	1900	1983	writer,director,actor	tt0075824,tt0061395,tt0056732,tt0068361
nm0000321	Gabriel Byrne	1950	\N	actor,producer,writer	tt0114814,tt0100150,tt0145531,tt0146675
nm0000322	Emmanuelle Béart	1963	\N	actress,soundtrack	tt0117060,tt0189142,tt0283832,tt0113947
nm0000323	Michael Caine	1933	\N	actor,producer,soundtrack	tt0468569,tt0124315,tt0258068,tt0482571
nm0000324	Barbara Carrera	1945	\N	actress,soundtrack	tt0085862,tt0084112,tt0076210,tt0086006
nm0000325	David Caruso	1956	\N	actor,producer	tt0228750,tt0261983,tt0113552,tt0083944
nm0000326	Kim Cattrall	1956	\N	actress,producer,soundtrack	tt1261945,tt0102975,tt0159206,tt1000774
nm0000327	Lacey Chabert	1982	\N	actress,soundtrack,producer	tt0377092,tt0821640,tt0120738,tt0277371
nm0000328	Richard Chamberlain	1934	\N	actor,soundtrack,producer	tt0076299,tt0085101,tt0080274,tt0072308
nm0000329	Jackie Chan	1954	\N	actor,producer,stunts	tt0127357,tt0266915,tt0184894,tt0120812
nm0000330	Stockard Channing	1944	\N	actress,soundtrack,miscellaneous	tt0120791,tt0077631,tt0198021,tt0108149
nm0000331	Chevy Chase	1943	\N	actor,writer,soundtrack	tt0080487,tt0090056,tt0085995,tt0089155
nm0000332	Don Cheadle	1964	\N	actor,producer,soundtrack	tt0395169,tt1540133,tt0375679,tt0988047
nm0000333	Cher	1946	\N	soundtrack,actress,director	tt0093565,tt0089560,tt0100140,tt1126591
nm0000334	Yun-Fat Chow	1955	\N	actor,writer,soundtrack	tt0190332,tt0473444,tt0104684,tt0120008
nm0000335	Glenn Close	1947	\N	actress,soundtrack,producer	tt0093010
nm0000336	James Coburn	1928	2002	actor,producer,director	tt0057115,tt0067140,tt0054047,tt0118564
nm0000337	Rachael Leigh Cook	1979	\N	actress,producer	tt0331811,tt0160862,tt0385700,tt0208988
nm0000338	Francis Ford Coppola	1939	\N	producer,director,writer	tt0078788,tt0071360,tt0071562,tt0068646
nm0000339	Roger Corman	1926	\N	producer,director,actor	tt0061189,tt0091419,tt0102926,tt0099612
nm0000340	Cindy Crawford	1966	\N	actress,producer,soundtrack	tt0115082,tt0113010,tt0120577,tt1441109
nm0000341	Michael Crichton	1942	2008	writer,producer,director	tt0070909,tt0107290,tt0108757,tt0117998
nm0000342	James Cromwell	1940	\N	actor,producer,soundtrack	tt0144214,tt0119488,tt0120689,tt0117731
nm0000343	David Cronenberg	1943	\N	director,actor,writer	tt0115964,tt0091064,tt0094964,tt0120907
nm0000344	Denise Crosby	1957	\N	actress,producer	tt0098084,tt0120647,tt0097889,tt0104119
nm0000345	Billy Crystal	1948	\N	actor,writer,producer	tt0122933,tt0098635,tt0101587,tt0113097
nm0000346	Macaulay Culkin	1980	\N	actor,director,producer	tt0102492,tt0104431,tt0107034,tt0099785
nm0000347	Tim Curry	1946	\N	actor,soundtrack,producer	tt0088930,tt0073629,tt0099810,tt0112715
nm0000348	Tony Curtis	1925	2010	actor,soundtrack,producer	tt0053291,tt0051036,tt0066701,tt0054331
nm0000349	Joan Cusack	1962	\N	actress,soundtrack,writer	tt0119360,tt0119229,tt0096463,tt1659337
nm0000350	Beverly D'Angelo	1951	\N	actress,soundtrack,producer	tt0120586,tt0085995,tt0097958,tt0120434
nm0000351	Donna D'Errico	1968	\N	actress,producer,director	tt7309348,tt3589144,tt8452572
nm0000352	Vincent D'Onofrio	1959	\N	actor,producer,soundtrack	tt0209958,tt0109707,tt0119654,tt0093058
nm0000353	Willem Dafoe	1955	\N	actor,soundtrack,producer	tt7984734,tt6938828,tt0145487,tt5649144
nm0000354	Matt Damon	1970	\N	producer,actor,soundtrack	tt0407887,tt3659388,tt0134119,tt0119217
nm0000355	Anthony Daniels	1946	\N	actor,producer,writer	tt2488496,tt0076759,tt0080684,tt0086190
nm0000356	Sybil Danning	1952	\N	actress,producer,writer	tt0085672,tt0080421,tt0092546,tt0373883
nm0000357	Lolita Davidovich	1961	\N	actress	tt0120684,tt0092513,tt0096943,tt0329717
nm0000358	Daniel Day-Lewis	1957	\N	actor,music_department,soundtrack	tt0104691,tt0443272,tt0469494,tt5776858
nm0000359	Olivier De Funès	1949	\N	actor,writer,soundtrack	tt0064425,tt0250077,tt0060475,tt0065848
nm0000360	Rebecca De Mornay	1959	\N	actress,soundtrack,producer	tt0104389,tt0089941,tt0086200,tt0396269
nm0000361	Brian De Palma	1940	\N	director,writer,producer	tt0086984,tt0094226,tt0080661,tt0280665
nm0000362	Danny DeVito	1944	\N	actor,producer,director	tt0094142,tt0098621,tt0117008,tt0103776
nm0000363	Loren Dean	1969	\N	actor,soundtrack	tt0098258,tt0120660,tt0112384,tt0186566
nm0000364	Sandra Dee	1942	2005	actress,soundtrack	tt0052847,tt0052918,tt0054759,tt0056093
nm0000365	Julie Delpy	1969	\N	actress,writer,director	tt0112471,tt0841044,tt0381681,tt0111507
nm0000366	Catherine Deneuve	1943	\N	actress,soundtrack,producer	tt0059646,tt0168629,tt0061395,tt0283832
nm0000367	Gérard Depardieu	1948	\N	actor,producer,soundtrack	tt0120744,tt0103594,tt0083789,tt0099334
nm0000368	Laura Dern	1967	\N	actress,producer,writer	tt7653254,tt0107290,tt2305051,tt0090756
nm0000369	Matt Dillon	1964	\N	actor,art_department,director	tt0375679,tt0097240,tt0129387,tt4003440
nm0000370	Walt Disney	1901	1966	producer,actor,director	tt0058331,tt0034492,tt0048280,tt0029583
nm0000371	Ami Dolenz	1969	\N	actress,producer,miscellaneous	tt0086765,tt0092718,tt0104879,tt0056758
nm0000372	Amanda Donohoe	1962	\N	actress,producer	tt0090466,tt0119528,tt0095488,tt0110428
nm0000373	Michael Dorn	1952	\N	actor,director,writer	tt0117731,tt0253754,tt0092455,tt0120844
nm0000374	Brad Dourif	1950	\N	actor	tt0087182,tt0118583,tt0167261,tt0073486
nm0000375	Robert Downey Jr.	1965	\N	actor,producer,soundtrack	tt0848228,tt1300854,tt0988045,tt0371746
nm0000376	Fran Drescher	1957	\N	writer,actress,producer	tt0118691,tt0098546,tt0106080,tt0837562
nm0000377	Richard Dreyfuss	1947	\N	actor,producer,soundtrack	tt0073195,tt0075860,tt0076095,tt0069704
nm0000378	Minnie Driver	1970	\N	actress,soundtrack,producer	tt0293508,tt0119229,tt0117665,tt0119217
nm0000379	Kirsten Dunst	1982	\N	actress,producer,soundtrack	tt0110148,tt0110367,tt0145487,tt1527186
nm0000380	Robert Duvall	1931	\N	actor,producer,soundtrack	tt0118632,tt0078788,tt0316356,tt0068646
nm0000381	Anthony Edwards	1962	\N	actor,producer,director	tt0443706,tt0088000,tt0108757,tt0092099
nm0000382	Atom Egoyan	1960	\N	director,writer,producer	tt0273435,tt1352824,tt2326612,tt0120255
nm0000383	Jennifer Ehle	1969	\N	actress	tt0112130,tt1790885,tt2392830,tt4919484
nm0000384	Danny Elfman	1953	\N	music_department,soundtrack,composer	tt0119654,tt0367594,tt0107688,tt0121164
nm0000385	Sam Elliott	1944	\N	actor,producer,writer	tt1517451,tt0118715,tt0098206,tt5655222
nm0000386	Roland Emmerich	1955	\N	writer,producer,director	tt0319262,tt1628841,tt0120685,tt0116629
nm0000387	Robert Englund	1947	\N	actor,miscellaneous,director	tt0095742,tt0093629,tt0087800,tt0329101
nm0000388	R. Lee Ermey	1944	2018	actor,miscellaneous,producer	tt0095647,tt0093058,tt0114369,tt0324216
nm0000389	Emilio Estevez	1962	\N	actor,director,writer	tt1441912,tt3294746,tt0308055,tt0088847
nm0000390	Joe Eszterhas	1944	\N	writer,producer,miscellaneous	tt0108162,tt0114436,tt0103772,tt0118577
nm0000391	Rupert Everett	1959	\N	actor,soundtrack,producer	tt0119738,tt0109592,tt2404639,tt0122541
nm0000392	Morgan Fairchild	1950	\N	actress,soundtrack,producer	tt0084652,tt1754944,tt0081858,tt0108778
nm0000393	Peter Falk	1927	2011	actor,producer,soundtrack	tt0074937,tt0093191,tt0093779,tt1466074
nm0000394	Chris Farley	1964	1997	actor,soundtrack,stunts	tt0118708,tt0115697,tt0106598,tt0114694
nm0000395	Terry Farrell	1963	\N	actress	tt0174378,tt0104409,tt0106145,tt0090685
nm0000396	Farrah Fawcett	1947	2009	actress,producer,soundtrack	tt0073972,tt0082136,tt0074812,tt0079285
nm0000397	Corey Feldman	1971	\N	actor,producer,soundtrack	tt0089218,tt0093437,tt0092005,tt0087363
nm0000398	Sally Field	1946	\N	actress,producer,soundtrack	tt0109830,tt0076729,tt0443272,tt0098384
nm0000399	David Fincher	1962	\N	director,producer,actor	tt0443706,tt0114369,tt1285016,tt2267998
nm0000400	Linda Fiorentino	1958	\N	actress,soundtrack	tt0120655,tt0110308,tt0088680,tt0119654
nm0000401	Laurence Fishburne	1961	\N	actor,producer,director	tt0327056,tt0133093,tt1598778,tt0234215
nm0000402	Carrie Fisher	1956	2016	actress,miscellaneous,soundtrack	tt0080684,tt0086190,tt0076759,tt2527336
nm0000403	Bridget Fonda	1964	\N	actress,soundtrack	tt0139414,tt0119396,tt0105414,tt0120324
nm0000404	Jane Fonda	1937	\N	actress,producer,soundtrack	tt0077362,tt3312830,tt0062711,tt0067309
nm0000405	Michelle Forbes	1965	\N	actress	tt0116225,tt0107302,tt1951266,tt0844441
nm0000406	John Ford	1894	1973	director,producer,actor	tt0056217,tt0045061,tt0031971,tt0032551
nm0000407	Vivica A. Fox	1964	\N	actress,producer,soundtrack	tt0266697,tt1628841,tt0116629,tt0118688
nm0000408	Jonathan Frakes	1952	\N	actor,director,producer	tt0111280,tt0117731,tt0120844,tt0253754
nm0000409	Brendan Fraser	1968	\N	actor,producer,soundtrack	tt0209163,tt0375679,tt0120616,tt0119190
nm0000410	Stephen Fry	1957	\N	actor,writer,producer	tt0120514,tt0434409,tt0280707,tt0371724
nm0000411	Edward Furlong	1977	\N	actor,producer,soundtrack	tt0107130,tt0165710,tt0103064,tt0120586
nm0000412	Andy Garcia	1956	\N	actor,producer,soundtrack	tt0349903,tt0099674,tt0240772,tt0343996
nm0000413	Janeane Garofalo	1964	\N	actress,writer,producer	tt0243655,tt0132347,tt0120032,tt0382932
nm0000414	Teri Garr	1947	\N	actress,soundtrack	tt0075860,tt0072431,tt0084805,tt0088680
nm0000415	Jami Gertz	1965	\N	actress,producer,executive	tt0117998,tt0320970,tt0088128,tt0093437
nm0000416	Terry Gilliam	1940	\N	writer,actor,animation_department	tt0071853,tt1054606,tt0081633,tt0088846
nm0000417	Crispin Glover	1964	\N	actor,soundtrack,producer	tt1729632,tt0088763,tt0310357,tt0091860
nm0000418	Danny Glover	1946	\N	actor,producer,director	tt0122151,tt0093409,tt0104714,tt1190080
nm0000419	Jean-Luc Godard	1930	\N	director,writer,editor	tt0053472,tt0056663,tt0057345,tt0059592
nm0000420	Valeria Golino	1965	\N	actress,producer,soundtrack	tt0116225,tt0102059,tt0095953,tt0107144
nm0000421	Cuba Gooding Jr.	1968	\N	actor,soundtrack,producer	tt0101507,tt0203019,tt0116695,tt0316465
nm0000422	John Goodman	1952	\N	actor,soundtrack,producer	tt1024648,tt1179933,tt1907668,tt0101410
nm0000423	Serena Grandi	1958	\N	actress	tt0104123,tt0089598,tt2358891,tt0089271
nm0000424	Hugh Grant	1960	\N	actor,soundtrack	tt0109831,tt0125439,tt0276751,tt0314331
nm0000425	Peter Greenaway	1942	\N	director,writer,editor	tt1702429,tt0097108,tt0092929,tt0446750
nm0000426	Jennifer Grey	1960	\N	actress,soundtrack	tt2013293,tt0092890,tt0087985,tt0091042
nm0000427	Pam Grier	1949	\N	actress,soundtrack,writer	tt0116996,tt0228333,tt0119396,tt0094602
nm0000428	D.W. Griffith	1875	1948	director,writer,producer	tt0004972,tt0006864,tt0012122,tt0010484
nm0000429	Melanie Griffith	1957	\N	actress,producer	tt0096463,tt0119558,tt0086984,tt0091983
nm0000430	Steve Guttenberg	1958	\N	actor,producer,soundtrack	tt0091949,tt0087928,tt0094137,tt0088933
nm0000431	Taylor Hackford	1944	\N	producer,director,writer	tt0109642,tt0350258,tt0084434,tt0106469
nm0000432	Gene Hackman	1930	\N	actor,soundtrack,producer	tt0105695,tt0067116,tt0069113,tt0265666
nm0000433	Corey Haim	1971	2010	actor,producer,soundtrack	tt0095519,tt1121931,tt0091445,tt0093437
nm0000434	Mark Hamill	1951	\N	actor,producer,soundtrack	tt2527336,tt0076759,tt0080684,tt0086190
nm0000435	Daryl Hannah	1960	\N	actress,producer,director	tt0088161,tt0266697,tt0378194,tt0094291
nm0000436	Curtis Hanson	1945	2016	director,producer,writer	tt0388125,tt0104389,tt0119488,tt0185014
nm0000437	Woody Harrelson	1961	\N	actor,producer,soundtrack	tt0110632,tt0117318,tt1156398,tt2356777
nm0000438	Ed Harris	1950	\N	actor,producer,director	tt0120382,tt0800308,tt0112384,tt0183659
nm0000439	Neil Patrick Harris	1973	\N	actor,soundtrack,producer	tt2267998,tt0120201,tt0460649,tt4834206
nm0000440	Nina Hartley	1959	\N	actress,director,producer	tt1282224,tt0118749,tt0189990,tt0126098
nm0000441	Noah Hathaway	1971	\N	actor,miscellaneous	tt0092115,tt0088323,tt0077215,tt0076984
nm0000442	Rutger Hauer	1944	2019	actor,producer,director	tt0083658,tt1640459,tt0372784,tt0091209
nm0000443	Goldie Hawn	1945	\N	actress,producer,soundtrack	tt0116242,tt0093693,tt0104070,tt0116313
nm0000444	Glenne Headly	1955	2017	actress	tt0099422,tt0113862,tt0095031,tt2229499
nm0000445	Dan Hedaya	1940	\N	actor,soundtrack	tt0114814,tt0112697,tt0166924,tt0086979
nm0000446	Mariel Hemingway	1961	\N	actress,soundtrack,producer	tt0079522,tt0094074,tt0159730,tt0208874
nm0000447	Marilu Henner	1952	\N	actress,miscellaneous,producer	tt0087507,tt0102250,tt0105017,tt0077089
nm0000448	Lance Henriksen	1940	\N	actor,miscellaneous	tt0107076,tt0370263,tt0090605,tt0093605
nm0000449	Natasha Henstridge	1974	\N	actress,producer,soundtrack	tt0190138,tt0120841,tt0114508,tt0228333
nm0000450	Philip Seymour Hoffman	1967	2014	actor,producer,soundtrack	tt0175880,tt0379725,tt0292963,tt1560747
nm0000451	Gaby Hoffmann	1982	\N	actress,soundtrack,director	tt0116242,tt0114011,tt0098554,tt0097351
nm0000452	Lauren Holly	1963	\N	actress,producer	tt0109686,tt0207201,tt0103512,tt0106770
nm0000453	Ian Holm	1931	2020	actor,soundtrack,animation_department	tt0120737,tt0167260,tt0088846,tt0382932
nm0000454	Dennis Hopper	1936	2010	actor,director,writer	tt0064276,tt0114898,tt0090756,tt0111257
nm0000455	John Hughes	1950	2009	writer,producer,director	tt0091042,tt0088847,tt0093748,tt0090305
nm0000456	Holly Hunter	1958	\N	actress,producer,soundtrack	tt0092699,tt5462602,tt0328538,tt0107822
nm0000457	John Hurt	1940	2017	actor,soundtrack	tt0087803,tt0078748,tt1340800,tt0080678
nm0000458	William Hurt	1950	\N	actor,producer	tt0120738,tt0080360,tt0092699,tt0399146
nm0000459	Timothy Hutton	1960	\N	actor,producer,director	tt1103987,tt0343737,tt0113117,tt0081283
nm0000460	Jeremy Irons	1948	\N	actor,soundtrack,producer	tt0094964,tt2975590,tt2094766,tt0110357
nm0000461	Michael Ironside	1950	\N	actor,producer,writer	tt0092099,tt0100802,tt0081455,tt0120201
nm0000462	Kate Jackson	1948	\N	actress,producer,director	tt0073972,tt0059978,tt0085088,tt0084293
nm0000463	Famke Janssen	1964	\N	actress,writer,director	tt0185371,tt0376994,tt0113189,tt0120903
nm0000464	Jim Jarmusch	1953	\N	director,writer,actor	tt5247022,tt0412019,tt0088184,tt1714915
nm0000465	Ron Jeremy	1953	\N	actor,director,writer	tt0165710,tt0120577,tt0144117,tt0124819
nm0000466	Jean-Pierre Jeunet	1953	\N	director,writer,producer	tt1149361,tt0211915,tt0344510,tt0101700
nm0000467	Don Johnson	1949	\N	actor,producer,soundtrack	tt1853728,tt8946378,tt0086759,tt0072730
nm0000468	Lynn-Holly Johnson	1958	\N	actress,director	tt0088395,tt0077716,tt0082398,tt0081738
nm0000469	James Earl Jones	1931	\N	actor,soundtrack	tt3748528,tt6105098,tt0086190,tt0099810
nm0000470	Jeffrey Jones	1946	\N	actor	tt0109707,tt0086879,tt0091042,tt0091225
nm0000471	Raul Julia	1940	1994	actor,soundtrack	tt0089424,tt0101272,tt0111301,tt0106220
nm0000472	Boris Karloff	1887	1969	actor,soundtrack	tt0021884,tt0032258,tt0024894,tt0026138
nm0000473	Diane Keaton	1946	\N	actress,producer,director	tt0075686,tt0079522,tt0356680,tt0337741
nm0000474	Michael Keaton	1951	\N	actor,producer,soundtrack	tt0094721,tt4276820,tt2562232,tt1895587
nm0000475	Patsy Kensit	1968	\N	actress,soundtrack	tt0090585,tt0097733,tt0079268,tt0068069
nm0000476	Sally Kirkland	1941	\N	actress,producer,miscellaneous	tt3216866,tt7525642,tt0102138,tt0092569
nm0000477	Mia Kirshner	1975	\N	actress	tt3520702,tt0330251,tt0387877
nm0000478	Tawny Kitaen	1961	\N	actress,producer	tt0111999,tt2797190,tt0087903,tt0086927
nm0000479	Walter Koenig	1936	\N	actor,writer,producer	tt0102975,tt0092007,tt0060028,tt0084726
nm0000480	Elias Koteas	1961	\N	actor,producer	tt0822854,tt0115964,tt0114194,tt0120863
nm0000481	Alice Krige	1954	\N	actress,producer,writer	tt0082158,tt1981115,tt0117731,tt0105428
nm0000482	Sylvia Kristel	1952	2012	actress,soundtrack,director	tt0078740,tt0077497,tt0081249,tt0071464
nm0000483	Christopher Lambert	1957	\N	actor,producer,writer	tt0113855,tt0106950,tt0091203,tt0120604
nm0000484	John Landis	1950	\N	producer,director,actor	tt0118747,tt0086491,tt0080455,tt0067716
nm0000485	Fritz Lang	1890	1976	director,writer,producer	tt0057345,tt0022100,tt0019415,tt0027652
nm0000486	Heather Langenkamp	1964	\N	actress,special_effects,make_up_department	tt0093629,tt0111686,tt0094490,tt0087800
nm0000487	Ang Lee	1954	\N	director,producer,writer	tt0454876,tt0808357,tt0114388,tt0190332
nm0000488	Brandon Lee	1965	1993	actor,miscellaneous	tt0102915,tt0105219,tt0099978,tt0109506
nm0000489	Christopher Lee	1922	2015	actor,soundtrack,producer	tt0121765,tt0070917,tt0167261,tt0120737
nm0000490	Spike Lee	1957	\N	director,producer,writer	tt0091939,tt0097216,tt0102175,tt0104797
nm0000491	John Leguizamo	1964	\N	actor,writer,producer	tt0203009,tt0117509,tt0119887,tt0120177
nm0000492	Jennifer Jason Leigh	1962	\N	actress,producer,soundtrack	tt0105414,tt3460252,tt2401878,tt0109642
nm0000493	Jack Lemmon	1925	2001	actor,soundtrack,producer	tt0053291,tt0104348,tt0107050,tt0053604
nm0000494	Robert Sean Leonard	1969	\N	actor,soundtrack	tt0097165,tt0106226,tt0412142,tt0108265
nm0000495	Téa Leoni	1966	\N	actress,producer	tt0218967,tt0163025,tt0371246,tt0120647
nm0000496	Juliette Lewis	1973	\N	actress,soundtrack,director	tt0110632,tt1322269,tt0101540,tt0116367
nm0000497	Jennifer Lien	1974	\N	actress,producer,miscellaneous	tt0120586,tt0106100,tt0133189,tt0112178
nm0000498	Matthew Lillard	1970	\N	actor,producer,soundtrack	tt1033575,tt0331632,tt0133189,tt0267913
nm0000499	Bai Ling	1966	\N	actress,producer,writer	tt0405336,tt0119994,tt1121931,tt0109506
nm0000500	Richard Linklater	1960	\N	producer,director,writer	tt0405296,tt2209418,tt1065073,tt0243017
nm0000501	Ray Liotta	1954	\N	actor,producer,soundtrack	tt0091983,tt0272207,tt0314123,tt0099685
nm0000502	Christopher Lloyd	1938	\N	actor,soundtrack	tt0106220,tt0088930,tt0096438,tt0088763
nm0000503	Emily Lloyd	1970	\N	actress	tt0094331,tt0097109,tt0105265,tt0120490
nm0000504	Amy Locane	1971	\N	actress,soundtrack	tt0099329,tt0103491,tt0274812,tt0105327
nm0000505	Nia Long	1970	\N	actress,soundtrack,producer	tt0168501,tt0197182,tt0208003,tt2083355
nm0000506	Julia Louis-Dreyfus	1961	\N	actress,producer,soundtrack	tt0462128,tt0098904,tt1759761,tt2390361
nm0000507	Rob Lowe	1964	\N	actor,producer,soundtrack	tt0086066,tt1058017,tt0105793,tt0090060
nm0000508	Carey Lowell	1961	\N	actress	tt0108160,tt0097742,tt0098844,tt0113627
nm0000509	Bela Lugosi	1882	1956	actor,costume_department,soundtrack	tt0045826,tt0024894,tt0024188,tt0021814
nm0000510	Andie MacDowell	1958	\N	actress,producer,soundtrack	tt0107048,tt0102070,tt0098724,tt0109831
